"Zeitstempel","Ich bin sportlich","Ich bin fleißig.","Von Rückschlägen lasse ich mich nicht entmutigen.","Meine Fähigkeiten und Talente sind vorgegeben und ich kann daran nicht viel ändern.","1990 lebten 58 % der Weltbevölkerung in Ländern mit niedrigem Einkommen. Wie hoch ist der Anteil heute? Geben Sie eine Zahl ein (z. B. 9, 37 oder 61)","Wie viel der weltweit verbrauchten Energie stammt aus Erdgas, Kohle und Öl?","Welcher Anteil der Weltbevölkerung lebt in Megacitys (Städte mit mindestens 10 Millionen Einwohnern)?","Wie viele Geleebohnen befinden sich in diesem sechseckigen Glas?","Wie viele Minuten verbringen Sie an einem typischen Tag in sozialen Medien (Facebook, Instagram, Snapchat, etc.)?","Wie viele Minuten investieren Sie ca. pro Tag in Ihr Studium (abgesehen von Lehrveranstaltungen)?","Lesen Sie zur Zeit ein Buch?","Wie alt sind Sie?","Sie sind ..."
"2023/03/14 2:57:56 PM MEZ","teils teils","trifft völlig zu","3","trifft eher nicht zu","30","ca. 82%","3","150","240","60","Ja","23","Weiblich"
"2023/03/14 2:58:00 PM MEZ","trifft eher nicht zu","trifft völlig zu","4","trifft überhaupt nicht zu","72","ca. 62%","3","900","120","10","Ja","21","Männlich"
"2023/03/14 2:58:15 PM MEZ","trifft völlig zu","trifft eher zu","4","trifft eher nicht zu","60","ca. 62%","2","100000","120","90","Ja","25","Weiblich"
"2023/03/14 2:58:23 PM MEZ","trifft eher nicht zu","trifft eher nicht zu","4","trifft eher nicht zu","75","ca. 62%","4","100","250","60","Ja","24","Männlich"
"2023/03/14 2:58:27 PM MEZ","teils teils","trifft eher zu","4","trifft eher nicht zu","41","ca. 62%","4","237","180","60","Nein","24","Männlich"
"2023/03/14 2:58:35 PM MEZ","trifft eher zu","teils teils","4","trifft eher nicht zu","62","ca. 42%","3","258","120","120","Ja","23","Weiblich"
"2023/03/14 2:58:40 PM MEZ","trifft eher zu","teils teils","3","trifft eher nicht zu","60","ca. 82%","3","1000","120","30","Ja","20","Weiblich"
"2023/03/14 2:58:43 PM MEZ","teils teils","trifft eher nicht zu","3","teils teils","45","ca. 62%","3","135","150","30","Nein","20","Männlich"
"2023/03/14 2:58:44 PM MEZ","teils teils","trifft eher zu","3","trifft eher nicht zu","70","ca. 62%","2","1000","180","120","Ja","20","Weiblich"
"2023/03/14 2:58:51 PM MEZ","trifft eher zu","teils teils","2","trifft eher nicht zu","70","ca. 62%","2","200","180","60","Ja","24","Weiblich"
"2023/03/14 2:58:58 PM MEZ","teils teils","trifft völlig zu","4","trifft eher nicht zu","70","ca. 82%","4","700","200","0","Nein","22","Männlich"
"2023/03/14 2:59:01 PM MEZ","teils teils","trifft eher zu","2","trifft eher nicht zu","70","ca. 82%","3","5000","120","60","Nein","20","Männlich"
"2023/03/14 2:59:03 PM MEZ","teils teils","trifft eher zu","4","trifft überhaupt nicht zu","65","ca. 62%","2","300","120","30","Ja","20","Männlich"
"2023/03/14 2:59:07 PM MEZ","teils teils","trifft eher zu","2","trifft eher nicht zu","60","ca. 82%","3","300","180","120","Nein","20","Männlich"
"2023/03/14 2:59:16 PM MEZ","trifft eher zu","trifft völlig zu","4","trifft überhaupt nicht zu","25","ca. 82%","3","1540","120","120","Ja","21","Männlich"
"2023/03/14 2:59:19 PM MEZ","teils teils","trifft eher nicht zu","1","trifft eher nicht zu","65","ca. 82%","3","578","30","30","Ja","23","Männlich"
"2023/03/14 2:59:19 PM MEZ","teils teils","teils teils","4","trifft eher nicht zu","66%","ca. 82%","4","3457","180","20","Nein","19","Männlich"
"2023/03/14 2:59:22 PM MEZ","trifft eher zu","trifft eher zu","3","trifft überhaupt nicht zu","67%","ca. 82%","2","900","70","60","Ja","22","Weiblich"
"2023/03/14 2:59:30 PM MEZ","trifft überhaupt nicht zu","teils teils","4","trifft eher nicht zu","68","ca. 62%","4","360","180","120","Nein","20","Weiblich"
"2023/03/14 2:59:34 PM MEZ","trifft völlig zu","trifft eher zu","4","teils teils","65","ca. 62%","2","1000","90","100","Nein","26","Männlich"
"2023/03/14 2:59:38 PM MEZ","trifft völlig zu","trifft eher zu","4","trifft eher nicht zu","45","ca. 82%","2","850","200","20","Nein","19","Männlich"
"2023/03/14 3:00:02 PM MEZ","trifft völlig zu","trifft völlig zu","3","trifft eher nicht zu","15","ca. 82%","4","100","120","120","Nein","21","Männlich"
"2023/03/14 3:00:07 PM MEZ","teils teils","trifft eher zu","4","trifft eher nicht zu","40","ca. 42%","2","9500","140","120","Nein","23","Weiblich"
"2023/03/14 3:00:11 PM MEZ","trifft eher zu","trifft eher zu","3","trifft eher zu","46%","ca. 82%","3","600","180","120","Nein","19","Weiblich"
"2023/03/14 3:00:12 PM MEZ","trifft eher nicht zu","teils teils","4","trifft überhaupt nicht zu","67%","ca. 62%","4","468","100","120","Ja","22","Männlich"
"2023/03/14 3:00:19 PM MEZ","teils teils","trifft eher zu","4","trifft eher nicht zu","50","ca. 62%","2","450","90","120","Ja","20","Weiblich"
"2023/03/14 3:00:26 PM MEZ","trifft völlig zu","trifft eher zu","2","teils teils","35","ca. 62%","4","2500","200","45","Nein","24","Weiblich"
"2023/03/14 3:00:27 PM MEZ","trifft eher zu","trifft eher nicht zu","3","trifft eher nicht zu","65","ca. 62%","3","430","150","100","Ja","22","Weiblich"
"2023/03/14 3:00:53 PM MEZ","trifft völlig zu","trifft völlig zu","3","trifft eher nicht zu","61","ca. 82%","3","5000","4","60","Ja","20","Weiblich"
"2023/03/14 3:01:10 PM MEZ","teils teils","trifft eher zu","4","trifft überhaupt nicht zu","62","ca. 82%","3","1200","180","120","Ja","20","Weiblich"
"2023/03/14 3:01:13 PM MEZ","teils teils","teils teils","2","trifft überhaupt nicht zu","79 %","ca. 82%","2","6049","360","240","Ja","24","Weiblich"
"2023/03/14 3:01:24 PM MEZ","trifft eher zu","trifft eher zu","4","trifft eher nicht zu","65","ca. 82%","3","87","4","4","Ja","21","Weiblich"
"2023/03/14 3:02:54 PM MEZ","trifft eher zu","teils teils","3","trifft eher nicht zu","37","ca. 82%","2","10800","60","23","Nein","21","Männlich"
"2023/03/14 3:02:54 PM MEZ","trifft völlig zu","trifft eher zu","2","trifft eher nicht zu","70","ca. 82%","2","900","480","60","Ja","20","Männlich"
"2023/03/14 3:15:04 PM MEZ","trifft eher zu","trifft völlig zu","5","trifft eher nicht zu","30%","ca. 82%","2","560","240","180","Ja","25","Weiblich"
