zeit,sport,fleissig,entmutigen,talente,einkommen,energie,megacity,geleebohnen,soziale_medien,studium,buch,alter,geschlecht,buch__Ja,buch__Nein,geschlecht__Männlich,geschlecht__Weiblich,entmutigen_orig,energie_orig,sport_qm,fleissig_qm,talente_qm,entmutigen_qm
2022/09/14 8:21:58 PM OEZ,teils teils,trifft eher zu,trifft eher zu,trifft überhaupt nicht zu,9,42,4,3000,34,34,Ja,22,Männlich,1,0,1,0,4,ca. 42%,3,4,1,4
2022/09/17 6:10:24 PM OEZ,trifft eher nicht zu,trifft eher nicht zu,trifft eher nicht zu,trifft eher zu,45,62,3,400,34,2,Nein,34,Weiblich,0,1,0,1,2,ca. 62%,2,2,4,2
2022/09/17 6:11:20 PM OEZ,teils teils,trifft eher nicht zu,teils teils,trifft eher zu,34,82,5,4000,23,12,Ja,12,Männlich,1,0,1,0,3,ca. 82%,3,2,4,3
2022/10/11 3:18:26 PM OEZ,trifft völlig zu,trifft eher zu,trifft eher zu,trifft eher nicht zu,61,62,3,586,180,60,Ja,23,Weiblich,1,0,0,1,4,ca. 62%,5,4,2,4
2022/10/11 3:19:05 PM OEZ,trifft eher nicht zu,trifft völlig zu,trifft eher nicht zu,trifft eher nicht zu,43,62,2,350,120,200,Ja,23,Weiblich,1,0,0,1,2,ca. 62%,2,5,2,2
2022/10/11 3:19:11 PM OEZ,trifft eher nicht zu,teils teils,trifft eher zu,trifft eher nicht zu,36,82,4,2700,150,60,Nein,26,Männlich,0,1,1,0,4,ca. 82%,2,3,2,4
2022/10/11 3:19:27 PM OEZ,trifft überhaupt nicht zu,trifft eher zu,trifft eher zu,trifft eher nicht zu,60,82,2,999,240,180,Ja,22,Weiblich,1,0,0,1,4,ca. 82%,1,4,2,4
2022/10/11 3:19:27 PM OEZ,trifft völlig zu,trifft eher zu,trifft eher zu,teils teils,61,62,2,500,2,180,Ja,25,Männlich,1,0,1,0,4,ca. 62%,5,4,3,4
2022/10/11 3:19:31 PM OEZ,trifft eher zu,trifft eher zu,teils teils,teils teils,65,42,4,2136,200,60,Ja,24,Weiblich,1,0,0,1,3,ca. 42%,4,4,3,3
2022/10/11 3:19:37 PM OEZ,trifft eher nicht zu,trifft eher nicht zu,trifft eher nicht zu,trifft eher nicht zu,40%,82,4,3000,240,60,Ja,23,Weiblich,1,0,0,1,2,ca. 82%,2,2,2,2
2022/10/11 3:19:39 PM OEZ,trifft eher zu,trifft eher nicht zu,trifft eher zu,trifft überhaupt nicht zu,65,62,2,5221,60,15,Nein,22,Männlich,0,1,1,0,4,ca. 62%,4,2,1,4
2022/10/11 3:19:42 PM OEZ,teils teils,trifft eher zu,trifft eher zu,teils teils,60,82,3,500,90,90,Ja,26,Weiblich,1,0,0,1,4,ca. 82%,3,4,3,4
2022/10/11 3:19:42 PM OEZ,teils teils,trifft eher zu,trifft eher nicht zu,teils teils,80,82,1,3000,50,600,Ja,22,Weiblich,1,0,0,1,2,ca. 82%,3,4,3,2
2022/10/11 3:19:44 PM OEZ,teils teils,trifft eher nicht zu,teils teils,trifft eher zu,70,82,2,2000,15,35,Ja,20,Weiblich,1,0,0,1,3,ca. 82%,3,2,4,3
2022/10/11 3:19:45 PM OEZ,trifft eher zu,trifft eher zu,trifft eher nicht zu,teils teils,62,42,4,814,120,90,Ja,20,Weiblich,1,0,0,1,2,ca. 42%,4,4,3,2
2022/10/11 3:19:46 PM OEZ,trifft überhaupt nicht zu,trifft völlig zu,trifft eher zu,trifft eher nicht zu,61,82,2,1000,120,120,Ja,21,Weiblich,1,0,0,1,4,ca. 82%,1,5,2,4
2022/10/11 3:19:48 PM OEZ,trifft eher zu,teils teils,trifft eher nicht zu,trifft überhaupt nicht zu,60,82,2,1500,360,30,Ja,23,Weiblich,1,0,0,1,2,ca. 82%,4,3,1,2
2022/10/11 3:20:05 PM OEZ,teils teils,teils teils,trifft eher zu,trifft eher nicht zu,40,82,2,2340,180,40,Nein,19,Weiblich,0,1,0,1,4,ca. 82%,3,3,2,4
2022/10/11 3:20:07 PM OEZ,teils teils,trifft eher nicht zu,trifft eher zu,trifft überhaupt nicht zu,65,82,4,2057,100,120,Ja,20,Weiblich,1,0,0,1,4,ca. 82%,3,2,1,4
2022/10/11 3:20:07 PM OEZ,teils teils,trifft eher nicht zu,trifft eher nicht zu,trifft eher zu,78,82,2,1624,180,45,Ja,20,Weiblich,1,0,0,1,2,ca. 82%,3,2,4,2
